epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1126.72,0.59316,1.94106,1.05446,0.80564,0.61538,0.66538,0.59004,0.47568,1.49,0.99403,0.000467827,0.000467827,0.000467827
2,2259.28,0.58051,1.43173,1.05185,0.52489,0.91865,0.73423,0.63476,0.54839,1.14231,1.03704,0.000913003,0.000913003,0.000913003
