epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,868.536,0.82914,2.77889,1.22862,0.00533,0.91939,0.35612,0.27876,0.68994,3.63253,1.26305,0.000467827,0.000467827,0.000467827
2,1753.69,0.76606,2.11973,1.16066,0.35801,0.53483,0.41915,0.33583,0.73804,3.07584,1.28682,0.000913003,0.000913003,0.000913003
